Reading,Word,Category
けいんずでびる,No.13 ケインズ・デビル,短縮よみ
ごうよくのさらめーや,No.14 強欲のサラメーヤ,短縮よみ
さらめーや,No.14 強欲のサラメーヤ,短縮よみ
ぎみっくぱぺっとじゃいあんときらー,No.15 ギミック・パペット－ジャイアントキラー,短縮よみ
じゃいあんときらー,No.15 ギミック・パペット－ジャイアントキラー,短縮よみ
ぎみっくぱぺっとしりあるきらー,CNo.15 ギミック・パペット－シリアルキラー,短縮よみ
しりあるきらー,CNo.15 ギミック・パペット－シリアルキラー,短縮よみ
いろのしはいしゃしょっくるーらー,No.16 色の支配者ショック・ルーラー,短縮よみ
しょっくるーらー,No.16 色の支配者ショック・ルーラー,短縮よみ
りばいすどらごん,No.17 リバイス・ドラゴン,短縮よみ
もんしょうそぷれいんこーと,No.18 紋章祖プレイン・コート,短縮よみ
ぷれいんこーと,No.18 紋章祖プレイン・コート,短縮よみ
もんしょうそ,紋章祖
ふりーざーどん,No.19 フリーザードン,短縮よみ
ぎがんとぶりりあんと,No.20 蟻岩土ブリリアント,短縮よみ
ぶりりあんと,No.20 蟻岩土ブリリアント,短縮よみ
ぎがんと,蟻岩土
ひょうけつのれでぃじゃすてぃす,No.21 氷結のレディ・ジャスティス,短縮よみ
れでぃじゃすてぃす,No.21 氷結のレディ・ジャスティス,短縮よみ
ふらんけん,No.22 不乱健,短縮よみ
めいかいのれいきしらんすろっと,No.23 冥界の霊騎士ランスロット,短縮よみ
らんすろっと,No.23 冥界の霊騎士ランスロット,短縮よみ
めいかいのれいきし,冥界の霊騎士
りゅうけつきどらぎゅらす,No.24 竜血鬼ドラギュラス,短縮よみ
どらぎゅらす,No.24 竜血鬼ドラギュラス,短縮よみ
りゅうけつき,竜血鬼
ふるめたるふぉとぐらいどふぉーかすふぉーす,No.25 重装光学撮影機フォーカス・フォース,短縮よみ
ふぉーかすふぉーす,No.25 重装光学撮影機フォーカス・フォース,短縮よみ
ふるめたるふぉとぐらいど,重装光学撮影機
じげんこうろおくとばいぱす,No.26 次元孔路オクトバイパス,短縮よみ
おくとばいぱす,No.26 次元孔路オクトバイパス,短縮よみ
じげんこうろ,次元孔路
どきゅうせんかんどれっどのいど,No.27 弩級戦艦－ドレッドノイド,短縮よみ
どれっどのいど,No.27 弩級戦艦－ドレッドノイド,短縮よみ
どきゅうせんかん,弩級戦艦
たいたにっくもす,No.28 タイタニック・モス,短縮よみ
まねきんきゃっと,No.29 マネキンキャット,短縮よみ
はめつのあしっどごーれむ,No.30 破滅のアシッド・ゴーレム,短縮よみ
あしっどごーれむ,No.30 破滅のアシッド・ゴーレム,短縮よみ
あべるずでびる,No.31 アベルズ・デビル,短縮よみ
かいこうりゅうしゃーくどれいく,No.32 海咬龍シャーク・ドレイク,短縮よみ
しゃーくどれいく,No.32 海咬龍シャーク・ドレイク,短縮よみ
かいこうりゅうしゃーくどれいくばいす,CNo.32 海咬龍シャーク・ドレイク・バイス,短縮よみ
しゃーくどれいくばいす,CNo.32 海咬龍シャーク・ドレイク・バイス,短縮よみ
かいこうりゅうしゃーくどれいくりばいす,CNo.32 海咬龍シャーク・ドレイク・リバイス,短縮よみ
しゃーくどれいくりばいす,CNo.32 海咬龍シャーク・ドレイク・リバイス,短縮よみ
かいこうりゅう,海咬龍
おーぱーつちょうへいきましゅまっく,No.33 先史遺産－超兵器マシュ＝マック,短縮よみ
ましゅまっく,No.33 先史遺産－超兵器マシュ＝マック,短縮よみ
でんさんきじゅうてらばいと,No.34 電算機獣テラ・バイト,短縮よみ
てらばいと,No.34 電算機獣テラ・バイト,短縮よみ
でんさんきじゅう,電算機獣
らべのすたらんちゅら,No.35 ラベノス・タランチュラ,短縮よみ
おーぱーつちょうきかんふぉーくひゅーく,No.36 先史遺産－超機関フォーク＝ヒューク,短縮よみ
ふぉーくひゅーく,No.36 先史遺産－超機関フォーク＝ヒューク,短縮よみ
きぼうしきりゅうすぱいだーしゃーく,No.37 希望織竜スパイダー・シャーク,短縮よみ
すぱいだーしゃーく,No.37 希望織竜スパイダー・シャーク,短縮よみ
きぼうしきりゅう,希望織竜
すぱいだーしゃーく,SNo.37 スパイダー・シャーク,短縮よみ
きぼうかいりゅうたいたにっくぎゃらくしー,No.38 希望魁竜タイタニック・ギャラクシー,短縮よみ
たいたにっくぎゃらくしー,No.38 希望魁竜タイタニック・ギャラクシー,短縮よみ
きぼうかいりゅう,希望魁竜
たいたにっくぎゃらくしー,SNo.38 タイタニック・ギャラクシー,短縮よみ
きぼうおうびよんどざほーぷ,No.39 希望皇ビヨンド・ザ・ホープ,短縮よみ
びよんどざほーぷ,No.39 希望皇ビヨンド・ザ・ホープ,短縮よみ
きぼうおうほーぷ,No.39 希望皇ホープ,短縮よみ
ほーぷ,No.39 希望皇ホープ,短縮よみ
きぼうおうほーぷだぶる,No.39 希望皇ホープ・ダブル,短縮よみ
ほーぷだぶる,No.39 希望皇ホープ・ダブル,短縮よみ
きぼうおうほーぷらいじんぐ,No.39 希望皇ホープ・ライジング,短縮よみ
ほーぷらいじんぐ,No.39 希望皇ホープ・ライジング,短縮よみ
きぼうおうほーぷるーつ,No.39 希望皇ホープ・ルーツ,短縮よみ
ほーぷるーつ,No.39 希望皇ホープ・ルーツ,短縮よみ
きぼうおうほーぷれい,CNo.39 希望皇ホープレイ,短縮よみ
ほーぷれい,CNo.39 希望皇ホープレイ,短縮よみ
きぼうおうほーぷれいぶい,CNo.39 希望皇ホープレイV,短縮よみ
ほーぷれいぶい,CNo.39 希望皇ホープレイV,短縮よみ
きぼうおうほーぷれいゔぃくとりー,CNo.39 希望皇ホープレイ・ヴィクトリー,短縮よみ
ほーぷれいゔぃくとりー,CNo.39 希望皇ホープレイ・ヴィクトリー,短縮よみ
きぼうおうほーぷざらいとにんぐ,SNo.39 希望皇ホープ・ザ・ライトニング,短縮よみ
ほーぷざらいとにんぐ,SNo.39 希望皇ホープ・ザ・ライトニング,短縮よみ
きぼうおうほーぷわん,SNo.39 希望皇ホープONE,短縮よみ
ほーぷわん,SNo.39 希望皇ホープONE,短縮よみ
ぎみっくぱぺっとへぶんずすとりんぐす,No.40 ギミック・パペット－ヘブンズ・ストリングス,短縮よみ
へぶんずすとりんぐす,No.40 ギミック・パペット－ヘブンズ・ストリングス,短縮よみ
ぎみっくぱぺっとでびるずすとりんぐす,CNo.40 ギミック・パペット－デビルズ・ストリングス,短縮よみ
でびるずすとりんぐす,CNo.40 ギミック・パペット－デビルズ・ストリングス,短縮よみ
でいすいまじゅうばぐーすか,No.41 泥睡魔獣バグースカ,短縮よみ
ばぐーすか,No.41 泥睡魔獣バグースカ,短縮よみ
でいすいまじゅう,泥酔魔獣
すたーしっぷぎゃらくしーとまほーく,No.42 スターシップ・ギャラクシー・トマホーク,短縮よみ
とまほーく,No.42 スターシップ・ギャラクシー・トマホーク,サジェストのみ
こんぱくくぐつきそうるまりおねったー,No.43 魂魄傀儡鬼ソウル・マリオネッター,短縮よみ
そうるまりおねったー,No.43 魂魄傀儡鬼ソウル・マリオネッター,短縮よみ
こんぱくくぐつき,魂魄傀儡鬼
こんぱくくぐつきしんかおすまりおねったー,CNo.43 魂魄傀儡鬼神カオス・マリオネッター,短縮よみ
かおすまりおねったー,CNo.43 魂魄傀儡鬼神カオス・マリオネッター,短縮よみ
こんぱくくぐつきしん,魂魄傀儡鬼神
はくてんますかいぺがさす,No.44 白天馬スカイ・ペガサス,短縮よみ
すかいぺがさす,No.44 白天馬スカイ・ペガサス,短縮よみ
はくてんま,白天馬
めつぼうのよげんしゃくらんぶるろごす,No.45 滅亡の予言者 クランブル・ロゴス,短縮よみ
くらんぶるろごす,No.45 滅亡の予言者 クランブル・ロゴス,短縮よみ
しんえいりゅうどらっぐるーおん,No.46 神影龍ドラッグルーオン,短縮よみ
どらっぐるーおん,No.46 神影龍ドラッグルーオン,短縮よみ
しんえいりゅう,神影龍
ないとめあしゃーく,No.47 ナイトメア・シャーク,短縮よみ
しゃどーりっち,No.48 シャドー・リッチ,短縮よみ
ひちょうふぉーちゅんちゅん,No.49 秘鳥フォーチュンチュン,短縮よみ
ふぉーちゅんちゅん,No.49 秘鳥フォーチュンチュン,短縮よみ
ひちょう,秘鳥
ぶらっくこーんごう,No.50 ブラック・コーン号,短縮よみ
かいわんのふぃにっしゅほーるど,No.51 怪腕のフィニッシュ・ホールド,短縮よみ
ふぃにっしゅほーるど,No.51 怪腕のフィニッシュ・ホールド,短縮よみ
だいやもんどくらぶきんぐ,No.52 ダイヤモンド・クラブ・キング,短縮よみ
ぎがいしんはーとあーす,No.53 偽骸神 Heart－eartH,短縮よみ
はーとあーす,No.53 偽骸神 Heart－eartH,短縮よみ
はーとあーす,Heart－eartH
ぎがいしん,偽骸神
はんこつのとうしらいおんはーと,No.54 反骨の闘士ライオンハート,短縮よみ
らいおんはーと,No.54 反骨の闘士ライオンハート,短縮よみ
はんこつのとうし,反骨の闘士
ごごごごらいあす,No.55 ゴゴゴゴライアス,短縮よみ
ごーるどらっと,No.56 ゴールドラット,短縮よみ
ふんじんりゅうとれすらぐーん,No.57 奮迅竜トレスラグーン,短縮よみ
とれすらぐーん,No.57 奮迅竜トレスラグーン,短縮よみ
ふんじんりゅう,奮迅竜
えんあつきばーなーばいさー,No.58 炎圧鬼バーナー・バイサー,短縮よみ
ばーなーばいさー,No.58 炎圧鬼バーナー・バイサー,短縮よみ
えんあつき,炎圧鬼
ばっくざこっく,No.59 背反の料理人,短縮よみ
ばっくざこっく,背反の料理人
ときしらずのでゅがれす,No.60 刻不知のデュガレス,短縮よみ
でゅがれす,No.60 刻不知のデュガレス,短縮よみ
ときしらず,刻不知
ゔぉるかざうるす,No.61 ヴォルカザウルス,短縮よみ
ぎゃらくしーあいずぷらいむふぉとんどらごん,No.62 銀河眼の光子竜皇,短縮よみ
ぷらいむふぉとん,No.62 銀河眼の光子竜皇,サジェストのみ
ぷらいむふぉとんどらごん,光子竜皇
ねおぎゃらくしーあいずぷらいむふぉとんどらごん,CNo.62 超銀河眼の光子龍皇,短縮よみ
ねおぷらいむ,CNo.62 超銀河眼の光子龍皇,サジェストのみ
おしゃもじそるじゃー,No.63 おしゃもじソルジャー,短縮よみ
ふるだぬきさんだゆう,No.64 古狸三太夫,短縮よみ
ふるだぬきさんだゆう,古狸三太夫
さんだゆう,No.64 古狸三太夫,短縮よみ
さいだんまじんじゃっじばすたー,No.65 裁断魔人ジャッジ・バスター,短縮よみ
じゃっじばすたー,No.65 裁断魔人ジャッジ・バスター,短縮よみ
さいだんまじん,裁断魔人
さいだんまおうじゃっじでびる,CNo.65 裁断魔王ジャッジ・デビル,短縮よみ
じゃっじでびる,CNo.65 裁断魔王ジャッジ・デビル,短縮よみ
さいだんまおう,裁断魔王
はけんこうちゅうますたーきーびーとる,No.66 覇鍵甲虫マスター・キー・ビートル,短縮よみ
ますたーきーびーとる,No.66 覇鍵甲虫マスター・キー・ビートル,短縮よみ
はけんこうちゅう,覇鍵甲虫
ぱらだいすまっしゃー,No.67 パラダイスマッシャー,短縮よみ
まてんろうさんだるふぉん,No.68 魔天牢サンダルフォン,短縮よみ
さんだるふぉん,No.68 魔天牢サンダルフォン,短縮よみ
まてんろう,魔天牢
ごっどめだりおんこーとおぶあーむず,No.69 紋章神コート・オブ・アームズ,短縮よみ
こーとおぶあーむず,No.69 紋章神コート・オブ・アームズ,短縮よみ
ごっどめだりおん,紋章神
ごっどめだりおんこーとおぶあーむずごっどしゃーたー,No.69 紋章神コート・オブ・アームズ－ゴッド・シャーター,短縮よみ
ごっどめだりおんこーとおぶあーむずごっどれいじ,No.69 紋章神コート・オブ・アームズ－ゴッド・レイジ,短縮よみ
ですめだりおんかおすおぶあーむず,CNo.69 紋章死神カオス・オブ・アームズ,短縮よみ
かおすおぶあーむず,CNo.69 紋章死神カオス・オブ・アームズ,短縮よみ
ですめだりおん,紋章死神
でっどりーしん,No.70 デッドリー・シン,短縮よみ
りばりあんしゃーく,No.71 リバリアン・シャーク,短縮よみ
らいんもんすたーちゃりおっつひしゃ,No.72 ラインモンスター チャリオッツ・飛車,短縮よみ
ちゃりおっつひしゃ,No.72 ラインモンスター チャリオッツ・飛車,短縮よみ
げきろうしんあびすすぷらっしゅ,No.73 激瀧神アビス・スプラッシュ,短縮よみ
あびすすぷらっしゅ,No.73 激瀧神アビス・スプラッシュ,短縮よみ
げきろうしん,激瀧神
げきろうばくしんあびすすーぷら,CNo.73 激瀧瀑神アビス・スープラ,短縮よみ
あびすすーぷら,CNo.73 激瀧瀑神アビス・スープラ,短縮よみ
げきろうばくしん,激瀧瀑神
まじかるくらうんみっしんぐそーど,No.74 マジカル・クラウン－ミッシング・ソード,短縮よみ
みっしんぐそーど,No.74 マジカル・クラウン－ミッシング・ソード,短縮よみ
わくらんのごしっぷしゃどー,No.75 惑乱のゴシップ・シャドー,短縮よみ
ごしっぷしゃどー,No.75 惑乱のゴシップ・シャドー,短縮よみ
かいちょうこうしぐらでぃえーる,No.76 諧調光師グラディエール,短縮よみ
ぐらでぃえーる,No.76 諧調光師グラディエール,短縮よみ
かいちょうこうし,諧調光師
ざせぶんしんず,No.77 ザ・セブン・シンズ,短縮よみ
せぶんしんず,No.77 ザ・セブン・シンズ,短縮よみ
なんばーずあーかいぶ,No.78 ナンバーズ・アーカイブ,短縮よみ
ばーにんぐなっくらーしんせいのかいざー,No.79 BK 新星のカイザー,短縮よみ
しんせいのかいざー,No.79 BK 新星のカイザー,短縮よみ
ばーにんぐなっくらーしょうせいのかえさる,CNo.79 BK 将星のカエサル,短縮よみ
しょうせいのかえさる,CNo.79 BK 将星のカエサル,短縮よみ
きょうそうはおうらぷそでぃいんばーさーく,No.80 狂装覇王ラプソディ・イン・バーサーク,短縮よみ
らぷそでぃいんばーさーく,No.80 狂装覇王ラプソディ・イン・バーサーク,短縮よみ
きょうそうはおう,狂装覇王
そうそうはおうれくいえむいんばーさーく,CNo.80 葬装覇王レクイエム・イン・バーサーク,短縮よみ
れくいえむいんばーさーく,CNo.80 葬装覇王レクイエム・イン・バーサーク,短縮よみ
そうそうはおう,葬装覇王
ちょうどきゅうほうとうれっしゃすぺりおるどーら,No.81 超弩級砲塔列車スペリオル・ドーラ,短縮よみ
すぺりおるどーら,No.81 超弩級砲塔列車スペリオル・ドーラ,短縮よみ
ちょうどきゅうほうとうれっしゃ,超弩級砲塔列車
はーとらんどらこ,No.82 ハートランドラコ,短縮よみ
ぎゃらくしーくぃーん,No.83 ギャラクシー・クィーン,短縮よみ
ぺいんげいなー,No.84 ペイン・ゲイナー,短縮よみ
くれいじーぼっくす,No.85 クレイジー・ボックス,短縮よみ
ひろいっくちゃんぴおんろんごみあんと,No.86 H－C ロンゴミアント,短縮よみ
ろんごみあんと,No.86 H－C ロンゴミアント,短縮よみ
せつげっかびしんくいーんおぶないつ,No.87 雪月花美神クイーン・オブ・ナイツ,短縮よみ
くいーんおぶないつ,No.87 雪月花美神クイーン・オブ・ナイツ,短縮よみ
せつげっかびしん,雪月花美神
ぎみっくぱぺっとですてにーれお,No.88 ギミック・パペット－デステニー・レオ,短縮よみ
ですてにーれお,No.88 ギミック・パペット－デステニー・レオ,短縮よみ
ぎみっくぱぺっとでぃざすたーれお,CNo.88 ギミック・パペット－ディザスター・レオ,短縮よみ
でぃざすたーれお,CNo.88 ギミック・パペット－ディザスター・レオ,短縮よみ
でんのうじゅうでぃあぶろしす,No.89 電脳獣ディアブロシス,短縮よみ
でぃあぶろしす,No.89 電脳獣ディアブロシス,短縮よみ
でんのうじゅう,電脳獣
ぎゃらくしーあいずふぉとんろーど,No.90 銀河眼の光子卿,短縮よみ
ふぉとんろーど,No.90 銀河眼の光子卿,短縮よみ
ふぉとんろーど,光子卿
さんだーすぱーくどらごん,No.91 サンダー・スパーク・ドラゴン,短縮よみ
ぎがいしんりゅうはーとあーすどらごん,No.92 偽骸神龍 Heart－eartH Dragon,短縮よみ
はーとあーすどらごん,No.92 偽骸神龍 Heart－eartH Dragon,短縮よみ
ぎがいしんりゅう,偽骸神龍
はーとあーすどらごん,Heart－eartH Dragon
ぎがいきょりゅうはーとあーすかおすどらごん,CNo.92 偽骸虚龍 Heart－eartH Chaos Dragon,短縮よみ
はーとあーすかおすどらごん,CNo.92 偽骸虚龍 Heart－eartH Chaos Dragon,短縮よみ
ぎがいきょりゅう,偽骸虚龍
はーとあーすかおすどらごん,Heart－eartH Chaos Dragon
きぼうおうほーぷかいざー,No.93 希望皇ホープ・カイザー,短縮よみ
ほーぷかいざー,No.93 希望皇ホープ・カイザー,短縮よみ
きょくひょうきくりすたるぜろ,No.94 極氷姫クリスタル・ゼロ,短縮よみ
くりすたるぜろ,No.94 極氷姫クリスタル・ゼロ,短縮よみ
きょくひょうき,極氷姫
ぎゃらくしーあいずだーくまたーどらごん,No.95 ギャラクシーアイズ・ダークマター・ドラゴン,短縮よみ
だーくまたー,No.95 ギャラクシーアイズ・ダークマター・ドラゴン,短縮よみ
ぶらっくみすと,No.96 ブラック・ミスト,短縮よみ
ぶらっくすとーむ,CNo.96 ブラック・ストーム,短縮よみ
りゅうえいしんどらっぐらびおん,No.97 龍影神ドラッグラビオン,短縮よみ
どらっぐらびおん,No.97 龍影神ドラッグラビオン,短縮よみ
りゅうえいしん,龍影神
ぜつぼうおうほーぷれす,No.98 絶望皇ホープレス,短縮よみ
ほーぷれす,No.98 絶望皇ホープレス,短縮よみ
きぼうおうほーぷどらぐなー,No.99 希望皇ホープドラグナー,短縮よみ
ほーぷどらぐなー,No.99 希望皇ホープドラグナー,短縮よみ
きぼうおうほーぷどらぐーん,No.99 希望皇龍ホープドラグーン,短縮よみ
ほーぷどらぐーん,No.99 希望皇龍ホープドラグーン,短縮よみ
ぬめろんどらごん,No.100 ヌメロン・ドラゴン,短縮よみ
さいれんとおなーずあーくないと,No.101 S・H・Ark Knight,短縮よみ
あーくないと,No.101 S・H・Ark Knight,短縮よみ
さいれんとおなーずだーくないと,CNo.101 S・H・Dark Knight,短縮よみ
だーくないと,CNo.101 S・H・Dark Knight,短縮よみ
ほーりーらいとにんぐぐろーりあすへいろー,No.102 光天使グローリアス・ヘイロー,短縮よみ
ぐろーりあすへいろー,No.102 光天使グローリアス・ヘイロー,短縮よみ
あんほーりーらいとにんぐのーぶるでーもん,CNo.102 光堕天使ノーブル・デーモン,短縮よみ
のーぶるでーもん,CNo.102 光堕天使ノーブル・デーモン,短縮よみ
あんほーりーらいとにんぐ,光堕天使
しんそうれいじょうらぐなぜろ,No.103 神葬零嬢ラグナ・ゼロ,短縮よみ
らぐなぜろ,No.103 神葬零嬢ラグナ・ゼロ,短縮よみ
しんそうれいじょう,神葬零嬢
しんそうれいじょうらぐないんふぃにてぃ,CNo.103 神葬零嬢ラグナ・インフィニティ,短縮よみ
らぐないんふぃにてぃ,CNo.103 神葬零嬢ラグナ・インフィニティ,短縮よみ
ますかれーどまじしゃんしゃいにんぐ,No.104 仮面魔踏士シャイニング,短縮よみ
ますかれーどまじしゃん,仮面魔踏士
ますかれーどまじしゃんあんぶらる,CNo.104 仮面魔踏士アンブラル,短縮よみ
あんぶらる,CNo.104 仮面魔踏士アンブラル,短縮よみ
ばーにんぐなっくらーりゅうせいのせすたす,No.105 BK 流星のセスタス,短縮よみ
りゅうせいのせすたす,No.105 BK 流星のセスタス,短縮よみ
ばーにんぐなっくらーすいせいのかえすとす,CNo.105 BK 彗星のカエストス,短縮よみ
すいせいのかえすとす,CNo.105 BK 彗星のカエストス,短縮よみ
きょがんしょうじゃいあんとはんど,No.106 巨岩掌ジャイアント・ハンド,短縮よみ
じゃいあんとはんど,No.106 巨岩掌ジャイアント・ハンド,短縮よみ
きょがんしょう,巨岩掌
ようがんしょうじゃいあんとはんどれっど,CNo.106 溶岩掌ジャイアント・ハンド・レッド,短縮よみ
じゃいあんとはんどれっど,CNo.106 溶岩掌ジャイアント・ハンド・レッド,短縮よみ
ようがんしょう,溶岩掌
ぎゃらくしーあいずたきおんどらごん,No.107 銀河眼の時空竜,短縮よみ
たきおんどらごん,No.107 銀河眼の時空竜,短縮よみ
たきおん,No.107 銀河眼の時空竜,サジェストのみ
ねおぎゃらくしーあいずたきおんどらごん,CNo.107 超銀河眼の時空龍,短縮よみ
ねおたきおん,CNo.107 超銀河眼の時空龍,サジェストのみ
むげんきょしんぬめろにあす,CNo.1000 夢幻虚神ヌメロニアス,短縮よみ
ぬめろにあす,CNo.1000 夢幻虚神ヌメロニアス,短縮よみ
むげんきょしん,夢幻虚神
むげんきょこうしんぬめろにあすぬめろにあ,CiNo.1000 夢幻虚光神ヌメロニアス・ヌメロニア,短縮よみ
ぬめろにあすぬめろにあ,CiNo.1000 夢幻虚光神ヌメロニアス・ヌメロニア,短縮よみ
むげんきょこうしん,夢幻虚光神
いんふぇくしょんばあるぜぶる,No.1 インフェクション・バアル・ゼブル,短縮よみ
ばあるぜぶる,No.1 インフェクション・バアル・ゼブル,短縮よみ
かがくにんじゃしゃどーもすきーと,No.2 蚊学忍者シャドー・モスキート,短縮よみ
しゃどーもすきーと,No.2 蚊学忍者シャドー・モスキート,短縮よみ
かがくにんじゃ,蚊学忍者
じごくぜみおうろーかすときんぐ,No.3 地獄蝉王ローカスト・キング,短縮よみ
ろーかすときんぐ,No.3 地獄蝉王ローカスト・キング,短縮よみ
じごくぜみおう,地獄蝉王
もうどくしほうすてるすくらーげん,No.4 猛毒刺胞ステルス・クラーゲン,短縮よみ
すてるすくらーげん,No.4 猛毒刺胞ステルス・クラーゲン,短縮よみ
もうどくしほう,猛毒刺胞
ほーぷぜある,SNo.0 ホープ・ゼアル,短縮よみ
みらいおうほーぷ,FNo.0 未来皇ホープ,短縮よみ
みらいおう,未来皇
みらいおうほーぷふゅーちゃーすらっしゅ,FNo.0 未来皇ホープ－フューチャー・スラッシュ,短縮よみ
ふゅーちゃーすらっしゅ,FNo.0 未来皇ホープ－フューチャー・スラッシュ,短縮よみ
みらいりゅうおうおーぷ,FNo.0 未来龍皇ホープ,短縮よみ
みらいりゅうおう,未来龍皇
みらいおうほーぷぜある,FNo.0 未来皇ホープ・ゼアル,短縮よみ
いんふぃにてぃだーくほーぷ,No.XX インフィニティ・ダークホープ,短縮よみ
だーくほーぷ,No.XX インフィニティ・ダークホープ,短縮よみ
じゅうそうがったいらいおほーぷれい,獣装合体 ライオ・ホープレイ,短縮よみ
らいおほーぷれい,獣装合体 ライオ・ホープレイ,短縮よみ
じゅうそうがったい,獣装合体
りゅうそうがったいどらごにっくほーぷれい,竜装合体 ドラゴニック・ホープレイ,短縮よみ
どらごにっくほーぷれい,竜装合体 ドラゴニック・ホープレイ,短縮よみ
りゅうそうがったい,竜装合体
きぼうおうばりあん,CX 冀望皇バリアン,短縮よみ
ばりあん,CX 冀望皇バリアン,短縮よみ
きぼうおう,冀望皇
ねふぃるあさいらむへっどないと,N・As・H Knight,短縮よみ
へっどないと,N・As・H Knight,短縮よみ
ねふぃるあさいらむかおすないと,CX－N・As・Ch Knight,短縮よみ
かおすないと,CX－N・As・Ch Knight,短縮よみ
ぜつぼうしんあんちほーぷ,絶望神アンチホープ
あんちほーぷ,絶望神アンチホープ,短縮よみ
ぜつぼうしん,絶望神
